th,diffh1,xdiffh1,tdiffh1,diffh2,xdiffh2,tdiffh2,diffh3,xdiffh3,tdiffh3,diffh4,xdiffh4,tdiffh4,diffh5,xdiffh5,tdiffh5,ta,diffa1,xdiffa1,tdiffa1,diffa2,xdiffa2,tdiffa2,diffa3,xdiffa3,tdiffa3,diffa4,xdiffa4,tdiffa4,diffa5,xdiffa5,tdiffa5,hs,as
3,0,0.5,2,0,1.0,8,1,-4.1,10,1,3.8000000000000007,13,1,-3.0,5,8,0,1.9000000000000004,9,-3,-4.9,2,1,1.6000000000000005,-1,-3,1.0999999999999996,13,1,3.1000000000000005,3,2,1
12,-3,-4.300000000000002,-2,3,2.5999999999999996,-9,-4,-4.800000000000001,2,2,3.5,3,-1,4.400000000000001,-6,18,0,-4.300000000000001,-11,-2,-2.500000000000001,-3,-2,1.799999999999999,-8,-1,-3.8000000000000007,-13,-7,-3.3,-16,4,0
17,-2,-4.300000000000001,-15,1,-1.6,-7,-2,-2.1000000000000005,-7,-2,-3.5,-3,0,4.999999999999999,-2,16,-2,-0.5,-3,0,-4.1000000000000005,-9,0,-0.8999999999999995,4,0,2.9000000000000004,-4,-1,3.0,-5,3,2
10,0,-0.8999999999999995,8,-1,-1.4999999999999991,8,2,-1.799999999999999,8,-1,-1.8999999999999995,6,1,3.6000000000000005,-8,6,3,4.300000000000002,2,0,-1.0,-8,-1,-1.6000000000000005,1,0,-15.0,-1,1,-1.0999999999999996,10,5,1
13,0,-1.9000000000000004,-9,0,0.8999999999999995,1,2,1.5999999999999996,-3,-1,-4.800000000000001,-9,-1,1.0999999999999996,-10,4,0,-0.5,-2,3,4.9,-2,-1,-1.7999999999999998,1,1,3.3000000000000007,4,3,-0.7999999999999998,10,1,1
14,-1,-7.999999999999999,-7,2,2.500000000000001,3,0,0.8999999999999995,-4,-5,0.9000000000000004,-10,0,-4.999999999999999,2,11,1,-5.100000000000001,-10,1,1.4999999999999991,-8,-2,-1.5999999999999996,3,-1,-3.3000000000000007,-4,-1,-3.1000000000000005,-3,2,3
5,0,1.5,9,0,-0.5,-2,3,4.9,-2,-1,-1.7999999999999998,1,1,3.3000000000000007,4,8,4,-0.09999999999999964,-4,0,-0.8999999999999995,8,-1,-1.4999999999999991,8,2,-1.799999999999999,8,-1,-1.8999999999999995,6,1,2
10,1,-2.2,3,1,-5.100000000000001,-10,1,1.4999999999999991,-8,-2,-1.5999999999999996,3,-1,-3.3000000000000007,-4,13,1,1.9000000000000004,-1,-2,-4.300000000000001,-15,1,-1.6,-7,-2,-2.1000000000000005,-7,-2,-3.5,-3,1,1
18,-4,-6.8999999999999995,-6,0,-4.300000000000001,-11,-2,-2.500000000000001,-3,-2,1.799999999999999,-8,-1,-3.8000000000000007,-13,6,2,-1.1999999999999993,-6,2,0.5,3,-1,1.6,7,4,4.800000000000001,-2,1,1.8999999999999995,-6,3,0
17,-4,-4.700000000000001,-10,0,0.8999999999999995,-8,0,-0.8999999999999995,-1,-1,4.1,-10,3,-1.0999999999999996,-13,15,-1,2.2,-3,-1,-7.999999999999999,-7,2,2.500000000000001,3,0,0.8999999999999995,-4,-5,0.9000000000000004,-10,4,0
12,-1,1.0999999999999996,-5,0,1.9000000000000004,9,-3,-4.9,2,1,1.6000000000000005,-1,-3,1.0999999999999996,13,11,4,6.8999999999999995,6,-3,-4.300000000000002,-2,3,2.5999999999999996,-9,-4,-4.800000000000001,2,2,3.5,3,1,1
4,-1,0.5,7,1,7.999999999999999,7,-3,-2.5999999999999996,9,1,1.7999999999999998,-1,1,4.800000000000001,9,3,4,4.700000000000001,10,-1,5.100000000000001,10,0,4.1000000000000005,9,0,3.6999999999999993,1,0,15.0,1,2,2
9,-4,0.09999999999999964,4,3,4.300000000000002,2,0,-1.0,-8,-1,-1.6000000000000005,1,0,-15.0,-1,7,1,-0.5,-7,0,4.300000000000001,11,-1,-1.6000000000000005,-2,2,2.1000000000000005,7,0,-2.9000000000000004,4,5,2
14,0,-1.5,-9,0,-1.9000000000000004,-9,0,0.8999999999999995,1,2,1.5999999999999996,-3,-1,-4.800000000000001,-9,2,1,-1.0999999999999996,5,0,0.5,2,0,1.0,8,1,-4.1,10,1,3.8000000000000007,13,2,2
16,-1,-1.9000000000000004,1,-2,-0.5,-3,0,-4.1000000000000005,-9,0,-0.8999999999999995,4,0,2.9000000000000004,-4,1,-2,1.1999999999999993,6,2,4.300000000000001,15,1,1.6000000000000005,2,0,-3.6999999999999993,-1,5,-0.9000000000000004,10,0,1
16,-4,-4.000000000000001,2,-1,2.2,-3,-1,-7.999999999999999,-7,2,2.500000000000001,3,0,0.8999999999999995,-4,7,-1,2.5000000000000004,3,0,1.5,9,0,-0.5,-2,3,4.9,-2,-1,-1.7999999999999998,1,0,3
8,-3,-2.6999999999999993,12,2,-1.1999999999999993,-6,2,0.5,3,-1,1.6,7,4,4.800000000000001,-2,15,4,4.000000000000001,-2,-4,-4.700000000000001,-10,0,0.8999999999999995,-8,0,-0.8999999999999995,-1,-1,4.1,-10,5,1
17,-1,-0.7999999999999994,-15,-1,-1.9000000000000004,1,-2,-0.5,-3,0,-4.1000000000000005,-9,0,-0.8999999999999995,4,18,3,2.6999999999999993,-12,-4,-6.8999999999999995,-6,0,-4.300000000000001,-11,-2,-2.500000000000001,-3,-2,1.799999999999999,-8,4,1
5,1,-2.5000000000000004,-3,4,-0.09999999999999964,-4,0,-0.8999999999999995,8,-1,-1.4999999999999991,8,2,-1.799999999999999,8,12,0,0.0,-1,-1,1.0999999999999996,-5,0,1.9000000000000004,9,-3,-4.9,2,1,1.6000000000000005,-1,0,2
13,0,-2.4000000000000004,-3,1,1.9000000000000004,-1,-2,-4.300000000000001,-15,1,-1.6,-7,-2,-2.1000000000000005,-7,6,3,3.4,-2,-4,0.09999999999999964,4,3,4.300000000000002,2,0,-1.0,-8,-1,-1.6000000000000005,1,2,2
11,0,-0.0,1,4,6.8999999999999995,6,-3,-4.300000000000002,-2,3,2.5999999999999996,-9,-4,-4.800000000000001,2,14,0,0.5000000000000004,-12,0,-1.5,-9,0,-1.9000000000000004,-9,0,0.8999999999999995,1,2,1.5999999999999996,-3,3,2
